Run,BioSample,Sample,Region,Locality,Aligned,Filtered,Coverage,Path,Lineage,DataDir,NewPath,Source,NewBioProject,New BioSample,New Accession
SRR3165617,SAMN04482560,SRS1284060,Indonesia-K,Samarinda,45680431,44616925,6.62419,data/split/SRR3165617.sort.flt.bam,WAL,NA,data/split/SRR3165617.sort.flt.bam,Existing,,,
SRR3183267,SAMN04482550,SRS1284050,Indonesia-SJ,South of Jakarta,76809629,72056421,14.9079,data/split/SRR3183267.sort.flt.bam,SEA,NA,data/split/SRR3183267.sort.flt.bam,Existing,,,
SRR3183268,SAMN04482551,SRS1284051,Indonesia-SJ,South of Jakarta,73904148,69036901,14.3466,data/split/SRR3183268.sort.flt.bam,SEA,NA,data/split/SRR3183268.sort.flt.bam,Existing,,,
SRR3183269,SAMN04482552,SRS1284052,Indonesia-SJ,South of Jakarta,77272102,72724877,15.0254,data/split/SRR3183269.sort.flt.bam,SEA,NA,data/split/SRR3183269.sort.flt.bam,Existing,,,
SRR3183270,SAMN04482553,SRS1284053,Indonesia-SJ,South of Jakarta,171661677,160139179,33.1352,data/split/SRR3183270.sort.flt.bam,SEA,NA,data/split/SRR3183270.sort.flt.bam,Existing,,,
SRR3183271,SAMN04482554,SRS1284054,Indonesia-SJ,South of Jakarta,58564798,54607071,11.3764,data/split/SRR3183271.sort.flt.bam,SEA,NA,data/split/SRR3183271.sort.flt.bam,Existing,,,
SRR3165612,SAMN04482555,SRS1284055,Indonesia-SU,Sulawesi,43210183,41319274,6.13043,data/split/SRR3165612.sort.flt.bam,WAL,NA,data/split/SRR3165612.sort.flt.bam,Existing,,,
SRR3165598,SAMN04482531,SRS1284031,Cambodia,Cambodia,42505415,41708561,6.19854,data/split/SRR3165598.sort.flt.bam,SEA,NA,data/split/SRR3165598.sort.flt.bam,Existing,,,
SRR3165599,SAMN04482532,SRS1284033,Cambodia,Cambodia,40102373,39134937,5.81331,data/split/SRR3165599.sort.flt.bam,SEA,NA,data/split/SRR3165599.sort.flt.bam,Existing,,,
SRR3165600,SAMN04482533,SRS1284032,Cambodia,Cambodia,45128142,44091504,6.55264,data/split/SRR3165600.sort.flt.bam,SEA,NA,data/split/SRR3165600.sort.flt.bam,Existing,,,
SRR3165601,SAMN04482534,SRS1284034,Cambodia,Cambodia,38824008,37866620,5.6257,data/split/SRR3165601.sort.flt.bam,SEA,NA,data/split/SRR3165601.sort.flt.bam,Existing,,,
SRR3165602,SAMN04482535,SRS1284035,Cambodia,Cambodia,37378404,35906777,5.33382,data/split/SRR3165602.sort.flt.bam,SEA,NA,data/split/SRR3165602.sort.flt.bam,Existing,,,
SRR3165624,SAMN04482567,SRS1284067,Papua New Guinea,Fly River,46009810,45091295,6.69989,data/split/SRR3165624.sort.flt.bam,AUS,NA,data/split/SRR3165624.sort.flt.bam,Existing,,,
SRR3165625,SAMN04482568,SRS1284068,Papua New Guinea,Fly River,36385434,35592008,5.28765,data/split/SRR3165625.sort.flt.bam,AUS,NA,data/split/SRR3165625.sort.flt.bam,Existing,,,
SRR3165626,SAMN04482569,SRS1284070,Papua New Guinea,Fly River,40019282,39174817,5.81982,data/split/SRR3165626.sort.flt.bam,AUS,NA,data/split/SRR3165626.sort.flt.bam,Existing,,,
SRR3165627,SAMN04482570,SRS1284071,Papua New Guinea,Fly River,40858088,40059128,5.95206,data/split/SRR3165627.sort.flt.bam,AUS,NA,data/split/SRR3165627.sort.flt.bam,Existing,,,
SRR3165628,SAMN04482571,SRS1284072,Papua New Guinea,Fly River,37198470,36318355,5.39644,data/split/SRR3165628.sort.flt.bam,AUS,NA,data/split/SRR3165628.sort.flt.bam,Existing,,,
SRR3165607,SAMN04482545,SRS1284045,Philippines,Philippine Aquaculture,39963794,39248534,5.83248,data/split/SRR3165607.sort.flt.bam,SEA,NA,data/split/SRR3165607.sort.flt.bam,Existing,,,
SRR3165608,SAMN04482546,SRS1284046,Philippines,Philippine Aquaculture,40784829,40079564,5.95467,data/split/SRR3165608.sort.flt.bam,SEA,NA,data/split/SRR3165608.sort.flt.bam,Existing,,,
SRR3165609,SAMN04482547,SRS1284047,Philippines,Philippine Aquaculture,51882107,50933622,7.5679,data/split/SRR3165609.sort.flt.bam,SEA,NA,data/split/SRR3165609.sort.flt.bam,Existing,,,
SRR3165610,SAMN04482548,SRS1284048,Philippines,Philippine Aquaculture,38898446,38180704,5.67282,data/split/SRR3165610.sort.flt.bam,SEA,NA,data/split/SRR3165610.sort.flt.bam,Existing,,,
SRR3165611,SAMN04482549,SRS1284049,Philippines,Philippine Aquaculture,45263100,44377628,6.59629,data/split/SRR3165611.sort.flt.bam,SEA,NA,data/split/SRR3165611.sort.flt.bam,Existing,,,
SRR3165603,SAMN04482536,SRS1284036,Thailand,EC,44651670,43586895,6.48057,data/split/SRR3165603.sort.flt.bam,SEA,NA,data/split/SRR3165603.sort.flt.bam,Existing,,,
SRR3183262,SAMN04482537,SRS1284037,Thailand,EC,77551309,72055855,14.8006,data/split/SRR3183262.sort.flt.bam,SEA,NA,data/split/SRR3183262.sort.flt.bam,Existing,,,
SRR3183263,SAMN04482538,SRS1284038,Thailand,EC,97249685,91212083,19.1199,data/split/SRR3183263.sort.flt.bam,SEA,NA,data/split/SRR3183263.sort.flt.bam,Existing,,,
SRR3183264,SAMN04482539,SRS1284039,Thailand,EC,142300778,134499580,25.3705,data/split/SRR3183264.sort.flt.bam,SEA,NA,data/split/SRR3183264.sort.flt.bam,Existing,,,
SRR3183265,SAMN04482540,SRS1284040,Thailand,EC,124725409,118670773,21.9547,data/split/SRR3183265.sort.flt.bam,SEA,NA,data/split/SRR3183265.sort.flt.bam,Existing,,,
SRR3165604,SAMN04482541,SRS1284041,Thailand,EC,44274458,43241218,6.43056,data/split/SRR3165604.sort.flt.bam,SEA,NA,data/split/SRR3165604.sort.flt.bam,Existing,,,
SRR3183266,SAMN04482542,SRS1284042,Thailand,EC,76335167,71808027,15.0087,data/split/SRR3183266.sort.flt.bam,SEA,NA,data/split/SRR3183266.sort.flt.bam,Existing,,,
SRR3165605,SAMN04482543,SRS1284043,Vietnamese Aquaculture,Vietnamese Aquaculture,43763977,37427442,5.55945,data/split/SRR3165605.sort.flt.bam,SEA,NA,data/split/SRR3165605.sort.flt.bam,Existing,,,
SRR3165606,SAMN04482544,SRS1284044,Vietnamese Aquaculture,Vietnamese Aquaculture,47150372,46161661,6.85862,data/split/SRR3165606.sort.flt.bam,SEA,NA,data/split/SRR3165606.sort.flt.bam,Existing,,,
SRR3183252,SAMN04482517,SRS1283155,India East Coast,Pazhayar-TamilNadu,81810791,62876243,12.3517,data/split/SRR3183252.sort.flt.bam,IND,NA,data/split/SRR3183252.sort.flt.bam,Existing,,,
SRR26358744,SAMN37541109,SRS19173540,Bangladesh,Bakhkhali River,49704585,46328960,10.0176,data/split/SRR26358744.sort.flt.bam,IND,NA,data/split/SRR26358744.sort.flt.bam,Existing,,,
SRR26402930,SAMN37541109,SRS19173540,Bangladesh,Bakhkhali River,50013614,46662535,10.0569,data/split/SRR26402930.sort.flt.bam,IND,NA,data/split/SRR26402930.sort.flt.bam,Existing,,,
Mannar1,12_1A,12_1A,Sri Lanka,Mannar Fish Market,170579154,156344455,33.5926,/home/maccamp/lates-wgs/data/lakdiva/Mannar1.sort.flt.bam,lakdiva,data/lakdiva,data/downsample/Mannar1.reduced.bam,New,PRJNA1232204,,
Mannar2,12_2A,12_2A,Sri Lanka,Mannar Fish Market,227608517,207348482,44.4537,/home/maccamp/lates-wgs/data/lakdiva/Mannar2.sort.flt.bam,lakdiva,data/lakdiva,data/downsample/Mannar2.reduced.bam,New,PRJNA1232204,,
Mannar3,12_3A,12_3A,Sri Lanka,Mannar Fish Market,169924454,156470189,33.6783,/home/maccamp/lates-wgs/data/lakdiva/Mannar3.sort.flt.bam,lakdiva,data/lakdiva,data/downsample/Mannar3.reduced.bam,New,PRJNA1232204,,
Mannar4,12_4A,12_4A,Sri Lanka,Mannar Fish Market,164628843,151791778,32.5849,/home/maccamp/lates-wgs/data/lakdiva/Mannar4.sort.flt.bam,lakdiva,data/lakdiva,data/downsample/Mannar4.reduced.bam,New,PRJNA1232204,,
Mannar5,12_5A,12_5A,Sri Lanka,Mannar Fish Market,181768421,167927046,35.9875,/home/maccamp/lates-wgs/data/lakdiva/Mannar5.sort.flt.bam,lakdiva,data/lakdiva,data/downsample/Mannar5.reduced.bam,New,PRJNA1232204,,
Trinco1,13_1A,13_1A,Sri Lanka,Trinco Fish Market ,178880107,165159022,35.2784,/home/maccamp/lates-wgs/data/lakdiva/Trinco1.sort.flt.bam,lakdiva,data/lakdiva,data/downsample/Trinco1.reduced.bam,New,PRJNA1232204,,
Trinco2,13_2A,13_2A,Sri Lanka,Trinco Fish Market ,224532124,204504256,43.683,/home/maccamp/lates-wgs/data/lakdiva/Trinco2.sort.flt.bam,lakdiva,data/lakdiva,data/downsample/Trinco2.reduced.bam,New,PRJNA1232204,,
Trinco3,13_3A,13_3A,Sri Lanka,Trinco Fish Market ,202042003,184403195,38.9953,/home/maccamp/lates-wgs/data/lakdiva/Trinco3.sort.flt.bam,lakdiva,data/lakdiva,data/downsample/Trinco3.reduced.bam,New,PRJNA1232204,,
Jaffna1,14_1A,14_1A,Sri Lanka,Jaffna Fish Market,197344375,182324259,38.8621,/home/maccamp/lates-wgs/data/lakdiva/Jaffna1.sort.flt.bam,lakdiva,data/lakdiva,data/downsample/Jaffna1.reduced.bam,New,PRJNA1232204,,
Jaffna2,14_2A,14_2A,Sri Lanka,Jaffna Fish Market,239460438,218331434,46.296,/home/maccamp/lates-wgs/data/lakdiva/Jaffna2.sort.flt.bam,lakdiva,data/lakdiva,data/downsample/Jaffna2.reduced.bam,New,PRJNA1232204,,
Mainstream1,Mainstream-1,Mainstream1,Australian Aquaculture,Australian Aquaculture,168404232,149570272,30.9807,/home/maccamp/lates-wgs/data/hatcheries/Mainstream1.sort.flt.bam,Australian Aquaculture,data/hatcheries,data/downsample/Mainstream1.reduced.bam,New,PRJNA1232204,,
Mainstream2,Mainstream-2,Mainstream2,Australian Aquaculture,Australian Aquaculture,182623700,164101320,33.9049,/home/maccamp/lates-wgs/data/hatcheries/Mainstream2.sort.flt.bam,Australian Aquaculture,data/hatcheries,data/downsample/Mainstream2.reduced.bam,New,PRJNA1232204,,
Mainstream3,Mainstream-3,Mainstream3,Australian Aquaculture,Australian Aquaculture,203215006,183458792,37.8441,/home/maccamp/lates-wgs/data/hatcheries/Mainstream3.sort.flt.bam,Australian Aquaculture,data/hatcheries,data/downsample/Mainstream3.reduced.bam,New,PRJNA1232204,,
Mainstream4,Mainstream-4,Mainstream4,Australian Aquaculture,Australian Aquaculture,158111751,142219025,29.4372,/home/maccamp/lates-wgs/data/hatcheries/Mainstream4.sort.flt.bam,Australian Aquaculture,data/hatcheries,data/downsample/Mainstream4.reduced.bam,New,PRJNA1232204,,
Mainstream5,Mainstream-5,Mainstream5,Australian Aquaculture,Australian Aquaculture,205561290,186913334,38.5661,/home/maccamp/lates-wgs/data/hatcheries/Mainstream5.sort.flt.bam,Australian Aquaculture,data/hatcheries,data/downsample/Mainstream5.reduced.bam,New,PRJNA1232204,,
OceanPick11,OceanPick-11,OceanPick11,Sri Lankan Aquaculture,Sri Lankan Aquaculture,219131763,197941889,39.5505,/home/maccamp/lates-wgs/data/hatcheries/OceanPick11.sort.flt.bam,Sri Lankan Aquaculture,data/hatcheries,data/downsample/OceanPick11.reduced.bam,New,PRJNA1232204,,
OceanPick15,OceanPick-15,OceanPick15,Sri Lankan Aquaculture,Sri Lankan Aquaculture,188158129,170706185,35.4193,/home/maccamp/lates-wgs/data/hatcheries/OceanPick15.sort.flt.bam,Sri Lankan Aquaculture,data/hatcheries,data/downsample/OceanPick15.reduced.bam,New,PRJNA1232204,,
OceanPick16,OceanPick-16,OceanPick16,Sri Lankan Aquaculture,Sri Lankan Aquaculture,196110273,181111429,37.1622,/home/maccamp/lates-wgs/data/hatcheries/OceanPick16.sort.flt.bam,Sri Lankan Aquaculture,data/hatcheries,data/downsample/OceanPick16.reduced.bam,New,PRJNA1232204,,
OceanPick17,OceanPick-17,OceanPick17,Sri Lankan Aquaculture,Sri Lankan Aquaculture,199866113,166303991,33.8201,/home/maccamp/lates-wgs/data/hatcheries/OceanPick17.sort.flt.bam,Sri Lankan Aquaculture,data/hatcheries,data/downsample/OceanPick17.reduced.bam,New,PRJNA1232204,,
OceanPick1,OceanPick-1,OceanPick1,Sri Lankan Aquaculture,Sri Lankan Aquaculture,188316323,170206826,32.8365,/home/maccamp/lates-wgs/data/hatcheries/OceanPick1.sort.flt.bam,Sri Lankan Aquaculture,data/hatcheries,data/downsample/OceanPick1.reduced.bam,New,PRJNA1232204,,
OceanPick20,OceanPick-20,OceanPick20,Sri Lankan Aquaculture,Sri Lankan Aquaculture,318657978,262489587,51.0267,/home/maccamp/lates-wgs/data/hatcheries/OceanPick20.sort.flt.bam,Sri Lankan Aquaculture,data/hatcheries,data/downsample/OceanPick20.reduced.bam,New,PRJNA1232204,,
OceanPick2,OceanPick-2,OceanPick2,Sri Lankan Aquaculture,Sri Lankan Aquaculture,245082767,225339177,44.2617,/home/maccamp/lates-wgs/data/hatcheries/OceanPick2.sort.flt.bam,Sri Lankan Aquaculture,data/hatcheries,data/downsample/OceanPick2.reduced.bam,New,PRJNA1232204,,
OceanPick3,OceanPick-3,OceanPick3,Sri Lankan Aquaculture,Sri Lankan Aquaculture,247805625,227493701,46.8712,/home/maccamp/lates-wgs/data/hatcheries/OceanPick3.sort.flt.bam,Sri Lankan Aquaculture,data/hatcheries,data/downsample/OceanPick3.reduced.bam,New,PRJNA1232204,,
OceanPick5,OceanPick-5,OceanPick5,Sri Lankan Aquaculture,Sri Lankan Aquaculture,188234929,171410968,35.3293,/home/maccamp/lates-wgs/data/hatcheries/OceanPick5.sort.flt.bam,Sri Lankan Aquaculture,data/hatcheries,data/downsample/OceanPick5.reduced.bam,New,PRJNA1232204,,
OceanPick8,OceanPick-8,OceanPick8,Sri Lankan Aquaculture,Sri Lankan Aquaculture,283512102,214149643,43.0619,/home/maccamp/lates-wgs/data/hatcheries/OceanPick8.sort.flt.bam,Sri Lankan Aquaculture,data/hatcheries,data/downsample/OceanPick8.reduced.bam,New,PRJNA1232204,,
WJC9162,WJC9162,WJC9162,Taiwan,Tamsui River,213111602,186681215,32.3199,/home/maccamp/lates-wgs/data/taiwan/WJC9162.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9162.reduced.bam,New,PRJNA1232204,,
WJC9163,WJC9163,WJC9163,Taiwan,Tamsui River,257583247,206746033,33.895,/home/maccamp/lates-wgs/data/taiwan/WJC9163.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9163.reduced.bam,New,PRJNA1232204,,
WJC9164,WJC9164,WJC9164,Taiwan,Tamsui River,273269251,225916495,35.5161,/home/maccamp/lates-wgs/data/taiwan/WJC9164.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9164.reduced.bam,New,PRJNA1232204,,
WJC9166,WJC9166,WJC9166,Taiwan,Tamsui River,230103711,197931232,31.6638,/home/maccamp/lates-wgs/data/taiwan/WJC9166.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9166.reduced.bam,New,PRJNA1232204,,
WJC9187,WJC9187,WJC9187,Taiwan,Tamsui River,258073205,221004084,36.3827,/home/maccamp/lates-wgs/data/taiwan/WJC9187.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9187.reduced.bam,New,PRJNA1232204,,
WJC9196,WJC9196,WJC9196,Taiwan,Tamsui River,210898335,179593199,28.9462,/home/maccamp/lates-wgs/data/taiwan/WJC9196.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9196.reduced.bam,New,PRJNA1232204,,
WJC9556,WJC9556,WJC9556,Taiwan,Tamsui River,212286744,179789424,30.58,/home/maccamp/lates-wgs/data/taiwan/WJC9556.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9556.reduced.bam,New,PRJNA1232204,,
WJC9558,WJC9558,WJC9558,Taiwan,Tamsui River,182258858,160381793,27.9758,/home/maccamp/lates-wgs/data/taiwan/WJC9558.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9558.reduced.bam,New,PRJNA1232204,,
WJC9559,WJC9559,WJC9559,Taiwan,Tamsui River,213454180,176211095,29.0693,/home/maccamp/lates-wgs/data/taiwan/WJC9559.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9559.reduced.bam,New,PRJNA1232204,,
WJC9560,WJC9560,WJC9560,Taiwan,Tamsui River,341617052,275059504,42.7225,/home/maccamp/lates-wgs/data/taiwan/WJC9560.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9560.reduced.bam,New,PRJNA1232204,,
WJC9188,WJC9188,WJC9188,Taiwan,Tamsui River,207927816,175269565,27.8819,/home/maccamp/lates-wgs/data/taiwan/WJC9188.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9188.reduced.bam,New,PRJNA1232204,,
Mainstream6,Mainstream6,Mainstream6,Australian Aquaculture,Australian Aquaculture,273907451,232447693,49.0963,/home/maccamp/lates-wgs/data/taiwan/Mainstream6.sort.flt.bam,Australian Aquaculture,data/taiwan,data/downsample/Mainstream6.reduced.bam,New,PRJNA1232204,,
Mainstream7,Mainstream7,Mainstream7,Australian Aquaculture,Australian Aquaculture,264202398,223927482,47.3556,/home/maccamp/lates-wgs/data/taiwan/Mainstream7.sort.flt.bam,Australian Aquaculture,data/taiwan,data/downsample/Mainstream7.reduced.bam,New,PRJNA1232204,,
Mainstream8,Mainstream8,Mainstream8,Australian Aquaculture,Australian Aquaculture,270758821,232873303,49.3992,/home/maccamp/lates-wgs/data/taiwan/Mainstream8.sort.flt.bam,Australian Aquaculture,data/taiwan,data/downsample/Mainstream8.reduced.bam,New,PRJNA1232204,,
Mainstream9,Mainstream9,Mainstream9,Australian Aquaculture,Australian Aquaculture,258503506,219343679,46.5654,/home/maccamp/lates-wgs/data/taiwan/Mainstream9.sort.flt.bam,Australian Aquaculture,data/taiwan,data/downsample/Mainstream9.reduced.bam,New,PRJNA1232204,,
Mainstream10,Mainstream10,Mainstream10,Australian Aquaculture,Australian Aquaculture,278102584,233517641,48.587,/home/maccamp/lates-wgs/data/taiwan/Mainstream10.sort.flt.bam,Australian Aquaculture,data/taiwan,data/downsample/Mainstream10.reduced.bam,New,PRJNA1232204,,
Mainstream11,Mainstream11,Mainstream11,Australian Aquaculture,Australian Aquaculture,263265248,222556527,46.4981,/home/maccamp/lates-wgs/data/taiwan/Mainstream11.sort.flt.bam,Australian Aquaculture,data/taiwan,data/downsample/Mainstream11.reduced.bam,New,PRJNA1232204,,
Mainstream12,Mainstream12,Mainstream12,Australian Aquaculture,Australian Aquaculture,267868828,227555399,47.1854,/home/maccamp/lates-wgs/data/taiwan/Mainstream12.sort.flt.bam,Australian Aquaculture,data/taiwan,data/downsample/Mainstream12.reduced.bam,New,PRJNA1232204,,
Broome01,Broome01,Broome01,Western Australia,Broome,197819590,173992432,36.4952,/home/maccamp/lates-wgs/data/broome/Broome01.sort.flt.bam,AUS,data/broome,data/downsample/Broome01.reduced.bam,New,,,
Broome02,Broome02,Broome02,Western Australia,Broome,202764846,177077927,37.4788,/home/maccamp/lates-wgs/data/broome/Broome02.sort.flt.bam,AUS,data/broome,data/downsample/Broome02.reduced.bam,New,,,
Broome03,Broome03,Broome03,Western Australia,Broome,175481648,154232642,32.6315,/home/maccamp/lates-wgs/data/broome/Broome03.sort.flt.bam,AUS,data/broome,data/downsample/Broome03.reduced.bam,New,,,
Broome04,Broome04,Broome04,Western Australia,Broome,187213611,163507998,34.4726,/home/maccamp/lates-wgs/data/broome/Broome04.sort.flt.bam,AUS,data/broome,data/downsample/Broome04.reduced.bam,New,,,
Broome05,Broome05,Broome05,Western Australia,Broome,187226133,164698052,34.4075,/home/maccamp/lates-wgs/data/broome/Broome05.sort.flt.bam,AUS,data/broome,data/downsample/Broome05.reduced.bam,New,,,
Broome06,Broome06,Broome06,Western Australia,Broome,188787410,165800171,34.8697,/home/maccamp/lates-wgs/data/broome/Broome06.sort.flt.bam,AUS,data/broome,data/downsample/Broome06.reduced.bam,New,,,
Broome07,Broome07,Broome07,Western Australia,Broome,182668764,159339778,33.8805,/home/maccamp/lates-wgs/data/broome/Broome07.sort.flt.bam,AUS,data/broome,data/downsample/Broome07.reduced.bam,New,,,
Broome08,Broome08,Broome08,Western Australia,Broome,222645191,193763704,41.3708,/home/maccamp/lates-wgs/data/broome/Broome08.sort.flt.bam,AUS,data/broome,data/downsample/Broome08.reduced.bam,New,,,
Broome09,Broome09,Broome09,Western Australia,Broome,202762440,177491562,37.5655,/home/maccamp/lates-wgs/data/broome/Broome09.sort.flt.bam,AUS,data/broome,data/downsample/Broome09.reduced.bam,New,,,
Broome10,Broome10,Broome10,Western Australia,Broome,171600751,151953142,32.2395,/home/maccamp/lates-wgs/data/broome/Broome10.sort.flt.bam,AUS,data/broome,data/downsample/Broome10.reduced.bam,New,,,
Fitzroy01,Fitzroy01,Fitzroy01,Western Australia,Fitzroy River WA,212711523,184316324,39.0858,/home/maccamp/lates-wgs/data/broome/Fitzroy01.sort.flt.bam,AUS,data/broome,data/downsample/Fitzroy01.reduced.bam,New,,,
1613156,1613156,1613156,Myanmar,river estuaries between Yangon and Sittang,255617622,215385799,43.8829,/home/maccamp/lates-wgs/data/uwisara/1613156.sort.flt.bam,uwisara,data/uwisara,data/downsample/1613156.reduced.bam,New,,,
1613186,1613186,1613186,Myanmar,river estuaries between Yangon and Sittang,319315511,267501410,54.4193,/home/maccamp/lates-wgs/data/uwisara/1613186.sort.flt.bam,uwisara,data/uwisara,data/downsample/1613186.reduced.bam,New,,,
1613217,1613217,1613217,Myanmar,river estuaries between Yangon and Sittang,262785983,220530140,44.9238,/home/maccamp/lates-wgs/data/uwisara/1613217.sort.flt.bam,uwisara,data/uwisara,data/downsample/1613217.reduced.bam,New,,,
1613247,1613247,1613247,Myanmar,river estuaries between Yangon and Sittang,241004825,206567626,41.8698,/home/maccamp/lates-wgs/data/uwisara/1613247.sort.flt.bam,uwisara,data/uwisara,data/downsample/1613247.reduced.bam,New,,,
