Run,BioSample,Sample,Region,Locality,Aligned,Filtered,Coverage,Path,Lineage,DataDir,NewPath,Mito
SRR3183262,SAMN04482537,SRS1284037,Thailand,EC,77551309,72055855,14.8006,data/split/SRR3183262.sort.flt.bam,SEA,NA,data/split/SRR3183262.sort.flt.bam,
SRR3183263,SAMN04482538,SRS1284038,Thailand,EC,97249685,91212083,19.1199,data/split/SRR3183263.sort.flt.bam,SEA,NA,data/split/SRR3183263.sort.flt.bam,
SRR3183264,SAMN04482539,SRS1284039,Thailand,EC,142300778,134499580,25.3705,data/split/SRR3183264.sort.flt.bam,SEA,NA,data/split/SRR3183264.sort.flt.bam,
SRR3183265,SAMN04482540,SRS1284040,Thailand,EC,124725409,118670773,21.9547,data/split/SRR3183265.sort.flt.bam,SEA,NA,data/split/SRR3183265.sort.flt.bam,
SRR3165604,SAMN04482541,SRS1284041,Thailand,EC,44274458,43241218,6.43056,data/split/SRR3165604.sort.flt.bam,SEA,NA,data/split/SRR3165604.sort.flt.bam,
SRR3183266,SAMN04482542,SRS1284042,Thailand,EC,76335167,71808027,15.0087,data/split/SRR3183266.sort.flt.bam,SEA,NA,data/split/SRR3183266.sort.flt.bam,
SRR3165605,SAMN04482543,SRS1284043,Vietnam,Vietnam,43763977,37427442,5.55945,data/split/SRR3165605.sort.flt.bam,SEA,NA,data/split/SRR3165605.sort.flt.bam,
SRR3165606,SAMN04482544,SRS1284044,Vietnam,Vietnam,47150372,46161661,6.85862,data/split/SRR3165606.sort.flt.bam,SEA,NA,data/split/SRR3165606.sort.flt.bam,
SRR3183252,SAMN04482517,SRS1283155,India East Coast,Pazhayar-TamilNadu,81810791,62876243,12.3517,data/split/SRR3183252.sort.flt.bam,IND,NA,data/split/SRR3183252.sort.flt.bam,
SRR26358744,SAMN37541109,SRS19173540,Bangladesh,Bakhkhali River,49704585,46328960,10.0176,data/split/SRR26358744.sort.flt.bam,IND,NA,data/split/SRR26358744.sort.flt.bam,
SRR26402930,SAMN37541109,SRS19173540,Bangladesh,Bakhkhali River,50013614,46662535,10.0569,data/split/SRR26402930.sort.flt.bam,IND,NA,data/split/SRR26402930.sort.flt.bam,
Mannar1,12_1A,12_1A,Sri Lanka,Mannar Fish Market,170579154,156344455,33.5926,NA,lakdiva,data/lakdiva,data/downsample/Mannar1.reduced.bam,
Mannar2,12_2A,12_2A,Sri Lanka,Mannar Fish Market,227608517,207348482,44.4537,NA,lakdiva,data/lakdiva,data/downsample/Mannar2.reduced.bam,
Mannar3,12_3A,12_3A,Sri Lanka,Mannar Fish Market,169924454,156470189,33.6783,NA,lakdiva,data/lakdiva,data/downsample/Mannar3.reduced.bam,
Mannar4,12_4A,12_4A,Sri Lanka,Mannar Fish Market,164628843,151791778,32.5849,NA,lakdiva,data/lakdiva,data/downsample/Mannar4.reduced.bam,
Mannar5,12_5A,12_5A,Sri Lanka,Mannar Fish Market,181768421,167927046,35.9875,NA,lakdiva,data/lakdiva,data/downsample/Mannar5.reduced.bam,
Trinco1,13_1A,13_1A,Sri Lanka,Trinco Fish Market ,178880107,165159022,35.2784,NA,lakdiva,data/lakdiva,data/downsample/Trinco1.reduced.bam,
Trinco2,13_2A,13_2A,Sri Lanka,Trinco Fish Market ,224532124,204504256,43.683,NA,lakdiva,data/lakdiva,data/downsample/Trinco2.reduced.bam,
Trinco3,13_3A,13_3A,Sri Lanka,Trinco Fish Market ,202042003,184403195,38.9953,NA,lakdiva,data/lakdiva,data/downsample/Trinco3.reduced.bam,
Jaffna1,14_1A,14_1A,Sri Lanka,Jaffna Fish Market,197344375,182324259,38.8621,NA,lakdiva,data/lakdiva,data/downsample/Jaffna1.reduced.bam,
Jaffna2,14_2A,14_2A,Sri Lanka,Jaffna Fish Market,239460438,218331434,46.296,NA,lakdiva,data/lakdiva,data/downsample/Jaffna2.reduced.bam,
Mainstream1,Mainstream-1,Mainstream1,Mainstream,Mainstream,168404232,149570272,30.9807,NA,Mainstream,data/hatcheries,data/downsample/Mainstream1.reduced.bam,
Mainstream2,Mainstream-2,Mainstream2,Mainstream,Mainstream,182623700,164101320,33.9049,NA,Mainstream,data/hatcheries,data/downsample/Mainstream2.reduced.bam,
Mainstream3,Mainstream-3,Mainstream3,Mainstream,Mainstream,203215006,183458792,37.8441,NA,Mainstream,data/hatcheries,data/downsample/Mainstream3.reduced.bam,
Mainstream4,Mainstream-4,Mainstream4,Mainstream,Mainstream,158111751,142219025,29.4372,NA,Mainstream,data/hatcheries,data/downsample/Mainstream4.reduced.bam,
Mainstream5,Mainstream-5,Mainstream5,Mainstream,Mainstream,205561290,186913334,38.5661,NA,Mainstream,data/hatcheries,data/downsample/Mainstream5.reduced.bam,
OceanPick11,OceanPick-11,OceanPick11,OceanPick,OceanPick,219131763,197941889,39.5505,NA,OceanPick,data/hatcheries,data/downsample/OceanPick11.reduced.bam,
OceanPick15,OceanPick-15,OceanPick15,OceanPick,OceanPick,188158129,170706185,35.4193,NA,OceanPick,data/hatcheries,data/downsample/OceanPick15.reduced.bam,
OceanPick16,OceanPick-16,OceanPick16,OceanPick,OceanPick,196110273,181111429,37.1622,NA,OceanPick,data/hatcheries,data/downsample/OceanPick16.reduced.bam,
OceanPick17,OceanPick-17,OceanPick17,OceanPick,OceanPick,199866113,166303991,33.8201,NA,OceanPick,data/hatcheries,data/downsample/OceanPick17.reduced.bam,
OceanPick1,OceanPick-1,OceanPick1,OceanPick,OceanPick,188316323,170206826,32.8365,NA,OceanPick,data/hatcheries,data/downsample/OceanPick1.reduced.bam,
OceanPick20,OceanPick-20,OceanPick20,OceanPick,OceanPick,318657978,262489587,51.0267,NA,OceanPick,data/hatcheries,data/downsample/OceanPick20.reduced.bam,
OceanPick2,OceanPick-2,OceanPick2,OceanPick,OceanPick,245082767,225339177,44.2617,NA,OceanPick,data/hatcheries,data/downsample/OceanPick2.reduced.bam,
OceanPick3,OceanPick-3,OceanPick3,OceanPick,OceanPick,247805625,227493701,46.8712,NA,OceanPick,data/hatcheries,data/downsample/OceanPick3.reduced.bam,
OceanPick5,OceanPick-5,OceanPick5,OceanPick,OceanPick,188234929,171410968,35.3293,NA,OceanPick,data/hatcheries,data/downsample/OceanPick5.reduced.bam,
OceanPick8,OceanPick-8,OceanPick8,OceanPick,OceanPick,283512102,214149643,43.0619,NA,OceanPick,data/hatcheries,data/downsample/OceanPick8.reduced.bam,
WJC9162,WJC9162,WJC9162,Taiwan,Tamsui River,213111602,186681215,32.3199,NA,SEA,data/taiwan,data/downsample/WJC9162.reduced.bam,
WJC9163,WJC9163,WJC9163,Taiwan,Tamsui River,257583247,206746033,33.895,NA,SEA,data/taiwan,data/downsample/WJC9163.reduced.bam,
WJC9164,WJC9164,WJC9164,Taiwan,Tamsui River,273269251,225916495,35.5161,NA,SEA,data/taiwan,data/downsample/WJC9164.reduced.bam,
WJC9166,WJC9166,WJC9166,Taiwan,Tamsui River,230103711,197931232,31.6638,NA,SEA,data/taiwan,data/downsample/WJC9166.reduced.bam,
WJC9187,WJC9187,WJC9187,Taiwan,Tamsui River,258073205,221004084,36.3827,NA,SEA,data/taiwan,data/downsample/WJC9187.reduced.bam,
WJC9196,WJC9196,WJC9196,Taiwan,Tamsui River,210898335,179593199,28.9462,NA,SEA,data/taiwan,data/downsample/WJC9196.reduced.bam,
WJC9556,WJC9556,WJC9556,Taiwan,Tamsui River,212286744,179789424,30.58,NA,SEA,data/taiwan,data/downsample/WJC9556.reduced.bam,
WJC9558,WJC9558,WJC9558,Taiwan,Tamsui River,182258858,160381793,27.9758,NA,SEA,data/taiwan,data/downsample/WJC9558.reduced.bam,
WJC9559,WJC9559,WJC9559,Taiwan,Tamsui River,213454180,176211095,29.0693,NA,SEA,data/taiwan,data/downsample/WJC9559.reduced.bam,
WJC9560,WJC9560,WJC9560,Taiwan,Tamsui River,341617052,275059504,42.7225,NA,SEA,data/taiwan,data/downsample/WJC9560.reduced.bam,
WJC9188,WJC9188,WJC9188,Taiwan,Tamsui River,207927816,175269565,27.8819,NA,SEA,data/taiwan,data/downsample/WJC9188.reduced.bam,
Mainstream6,Mainstream6,Mainstream6,Mainstream,Mainstream,273907451,232447693,49.0963,NA,Mainstream,data/taiwan,data/downsample/Mainstream6.reduced.bam,
Mainstream7,Mainstream7,Mainstream7,Mainstream,Mainstream,264202398,223927482,47.3556,NA,Mainstream,data/taiwan,data/downsample/Mainstream7.reduced.bam,
Mainstream8,Mainstream8,Mainstream8,Mainstream,Mainstream,270758821,232873303,49.3992,NA,Mainstream,data/taiwan,data/downsample/Mainstream8.reduced.bam,
Mainstream9,Mainstream9,Mainstream9,Mainstream,Mainstream,258503506,219343679,46.5654,NA,Mainstream,data/taiwan,data/downsample/Mainstream9.reduced.bam,
Mainstream10,Mainstream10,Mainstream10,Mainstream,Mainstream,278102584,233517641,48.587,NA,Mainstream,data/taiwan,data/downsample/Mainstream10.reduced.bam,
Mainstream11,Mainstream11,Mainstream11,Mainstream,Mainstream,263265248,222556527,46.4981,NA,Mainstream,data/taiwan,data/downsample/Mainstream11.reduced.bam,
Mainstream12,Mainstream12,Mainstream12,Mainstream,Mainstream,267868828,227555399,47.1854,NA,Mainstream,data/taiwan,data/downsample/Mainstream12.reduced.bam,
Broome01,Broome01,Broome01,Western Australia,Broome,197819590,173992432,36.4952,NA,AUS,data/broome,data/downsample/Broome01.reduced.bam,
Broome02,Broome02,Broome02,Western Australia,Broome,202764846,177077927,37.4788,NA,AUS,data/broome,data/downsample/Broome02.reduced.bam,
Broome03,Broome03,Broome03,Western Australia,Broome,175481648,154232642,32.6315,NA,AUS,data/broome,data/downsample/Broome03.reduced.bam,
Broome04,Broome04,Broome04,Western Australia,Broome,187213611,163507998,34.4726,NA,AUS,data/broome,data/downsample/Broome04.reduced.bam,
Broome05,Broome05,Broome05,Western Australia,Broome,187226133,164698052,34.4075,NA,AUS,data/broome,data/downsample/Broome05.reduced.bam,
Broome06,Broome06,Broome06,Western Australia,Broome,188787410,165800171,34.8697,NA,AUS,data/broome,data/downsample/Broome06.reduced.bam,
Broome07,Broome07,Broome07,Western Australia,Broome,182668764,159339778,33.8805,NA,AUS,data/broome,data/downsample/Broome07.reduced.bam,
Broome08,Broome08,Broome08,Western Australia,Broome,222645191,193763704,41.3708,NA,AUS,data/broome,data/downsample/Broome08.reduced.bam,
Broome09,Broome09,Broome09,Western Australia,Broome,202762440,177491562,37.5655,NA,AUS,data/broome,data/downsample/Broome09.reduced.bam,
Broome10,Broome10,Broome10,Western Australia,Broome,171600751,151953142,32.2395,NA,AUS,data/broome,data/downsample/Broome10.reduced.bam,
Fitzroy01,Fitzroy01,Fitzroy01,Western Australia,Fitzroy River,212711523,184316324,39.0858,NA,AUS,data/broome,data/downsample/Fitzroy01.reduced.bam,
1613156,1613156,1613156,Myanmar,river estuaries between Yangon and Sittang,255617622,215385799,43.8829,NA,uwisara,data/uwisara,data/downsample/1613156.reduced.bam,
1613186,1613186,1613186,Myanmar,river estuaries between Yangon and Sittang,319315511,267501410,54.4193,NA,uwisara,data/uwisara,data/downsample/1613186.reduced.bam,
1613217,1613217,1613217,Myanmar,river estuaries between Yangon and Sittang,262785983,220530140,44.9238,NA,uwisara,data/uwisara,data/downsample/1613217.reduced.bam,
1613247,1613247,1613247,Myanmar,river estuaries between Yangon and Sittang,241004825,206567626,41.8698,NA,uwisara,data/uwisara,data/downsample/1613247.reduced.bam,
Daly01,Daly01,Daly01,Northern Territory,Daly River,316492070,271334403,58.7496,NA,AUS,data/daly,data/downsample/Daly01.reduced.bam,
Daly02,Daly02,Daly02,Northern Territory,Daly River,326046177,283926139,60.2108,NA,AUS,data/daly,data/downsample/Daly02.reduced.bam,
Daly03,Daly03,Daly03,Northern Territory,Daly River,250931941,216745151,47.0122,NA,AUS,data/daly,data/downsample/Daly03.reduced.bam,
Daly04,Daly04,Daly04,Northern Territory,Daly River,228200523,200254294,43.2608,NA,AUS,data/daly,data/downsample/Daly04.reduced.bam,
Daly05,Daly05,Daly05,Northern Territory,Daly River,358110468,308080850,66.6556,NA,AUS,data/daly,data/downsample/Daly05.reduced.bam,
Daly06,Daly06,Daly06,Northern Territory,Daly River,288183066,246600489,53.1609,NA,AUS,data/daly,data/downsample/Daly06.reduced.bam,
Daly07,Daly07,Daly07,Northern Territory,Daly River,302850614,258326860,55.7428,NA,AUS,data/daly,data/downsample/Daly07.reduced.bam,
Daly08,Daly08,Daly08,Northern Territory,Daly River,277003928,240831949,52.1401,NA,AUS,data/daly,data/downsample/Daly08.reduced.bam,
Roper02,Roper02,Roper02,Northern Territory,Roper River,305214628,237233317,49.1359,NA,AUS,data/roper,data/downsample/Roper02.reduced.bam,
Roper07,Roper07,Roper07,Northern Territory,Roper River,240383448,192310744,39.667,NA,AUS,data/roper,data/downsample/Roper07.reduced.bam,
Roper08,Roper08,Roper08,Northern Territory,Roper River,218701103,172576592,35.7122,NA,AUS,data/roper,data/downsample/Roper08.reduced.bam,
Roper09,Roper09,Roper09,Northern Territory,Roper River,209993253,163360453,33.7983,NA,AUS,data/roper,data/downsample/Roper09.reduced.bam,
Roper10,Roper10,Roper10,Northern Territory,Roper River,220737088,177538875,36.7153,NA,AUS,data/roper,data/downsample/Roper10.reduced.bam,
