Run,Pop,Lineage,Path
DRR111250,THA,SEA,bams/DRR111250.sort.flt.bam
DRR111251,THA,SEA,bams/DRR111251.sort.flt.bam
DRR111252,THA,SEA,bams/DRR111252.sort.flt.bam
DRR111254,THA,SEA,bams/DRR111254.sort.flt.bam
DRR111258,THA,SEA,bams/DRR111258.sort.flt.bam
DRR111261,THA,SEA,bams/DRR111261.sort.flt.bam
DRR111263,THA,SEA,bams/DRR111263.sort.flt.bam
DRR111264,THA,SEA,bams/DRR111264.sort.flt.bam
DRR111265,THA,SEA,bams/DRR111265.sort.flt.bam
DRR111267,THA,SEA,bams/DRR111267.sort.flt.bam
DRR111268,THA,SEA,bams/DRR111268.sort.flt.bam
DRR111269,THA,SEA,bams/DRR111269.sort.flt.bam
DRR111272,THA,SEA,bams/DRR111272.sort.flt.bam
DRR111273,THA,SEA,bams/DRR111273.sort.flt.bam
DRR111125,AUE,AUS+NG,bams/DRR111125.sort.flt.bam
DRR111131,AUE,AUS+NG,bams/DRR111131.sort.flt.bam
DRR111134,AUE,AUS+NG,bams/DRR111134.sort.flt.bam
DRR111135,AUE,AUS+NG,bams/DRR111135.sort.flt.bam
DRR111136,AUE,AUS+NG,bams/DRR111136.sort.flt.bam
DRR111138,AUE,AUS+NG,bams/DRR111138.sort.flt.bam
DRR111140,PNG,AUS+NG,bams/DRR111140.sort.flt.bam
DRR111145,PNG,AUS+NG,bams/DRR111145.sort.flt.bam
DRR111147,PNG,AUS+NG,bams/DRR111147.sort.flt.bam
DRR111149,PNG,AUS+NG,bams/DRR111149.sort.flt.bam
DRR111150,PNG,AUS+NG,bams/DRR111150.sort.flt.bam
DRR111151,PNG,AUS+NG,bams/DRR111151.sort.flt.bam
DRR111152,PNG,AUS+NG,bams/DRR111152.sort.flt.bam
DRR111153,PNG,AUS+NG,bams/DRR111153.sort.flt.bam
DRR111156,PNG,AUS+NG,bams/DRR111156.sort.flt.bam
DRR111157,AUW,AUS+NG,bams/DRR111157.sort.flt.bam
DRR111165,AUW,AUS+NG,bams/DRR111165.sort.flt.bam
DRR111168,AUW,AUS+NG,bams/DRR111168.sort.flt.bam
DRR111169,AUW,AUS+NG,bams/DRR111169.sort.flt.bam
DRR111170,AUW,AUS+NG,bams/DRR111170.sort.flt.bam
DRR111172,AUW,AUS+NG,bams/DRR111172.sort.flt.bam
DRR111173,AUW,AUS+NG,bams/DRR111173.sort.flt.bam
DRR111174,AUW,AUS+NG,bams/DRR111174.sort.flt.bam
DRR111175,AUW,AUS+NG,bams/DRR111175.sort.flt.bam
DRR111180,AUW,AUS+NG,bams/DRR111180.sort.flt.bam
DRR111181,AUW,AUS+NG,bams/DRR111181.sort.flt.bam
DRR111185,AUW,AUS+NG,bams/DRR111185.sort.flt.bam
DRR111192,INA,SEA,bams/DRR111192.sort.flt.bam
DRR111194,INA,SEA,bams/DRR111194.sort.flt.bam
DRR111196,INA,SEA,bams/DRR111196.sort.flt.bam
DRR111197,INA,SEA,bams/DRR111197.sort.flt.bam
DRR111200,INA,SEA,bams/DRR111200.sort.flt.bam
DRR111201,INA,SEA,bams/DRR111201.sort.flt.bam
DRR111203,INA,SEA,bams/DRR111203.sort.flt.bam
DRR111204,INA,SEA,bams/DRR111204.sort.flt.bam
DRR111211,INA,SEA,bams/DRR111211.sort.flt.bam
DRR111213,INA,SEA,bams/DRR111213.sort.flt.bam
DRR111219,MAL,SEA,bams/DRR111219.sort.flt.bam
DRR111223,MAL,SEA,bams/DRR111223.sort.flt.bam
DRR111232,MAL,SEA,bams/DRR111232.sort.flt.bam
DRR111233,MAL,SEA,bams/DRR111233.sort.flt.bam
DRR111234,MAL,SEA,bams/DRR111234.sort.flt.bam
DRR111236,MAL,SEA,bams/DRR111236.sort.flt.bam
DRR111237,MAL,SEA,bams/DRR111237.sort.flt.bam
DRR111242,MAL,SEA,bams/DRR111242.sort.flt.bam
DRR111247,THA,SEA,bams/DRR111247.sort.flt.bam
DRR111248,THA,SEA,bams/DRR111248.sort.flt.bam
DRR111253,THA,SEA,bams/DRR111253.sort.flt.bam
DRR111255,THA,SEA,bams/DRR111255.sort.flt.bam
DRR111256,THA,SEA,bams/DRR111256.sort.flt.bam
DRR111257,THA,SEA,bams/DRR111257.sort.flt.bam
DRR111259,THA,SEA,bams/DRR111259.sort.flt.bam
DRR111260,THA,SEA,bams/DRR111260.sort.flt.bam
DRR111262,THA,SEA,bams/DRR111262.sort.flt.bam
DRR111266,THA,SEA,bams/DRR111266.sort.flt.bam
DRR111270,THA,SEA,bams/DRR111270.sort.flt.bam
DRR111271,THA,SEA,bams/DRR111271.sort.flt.bam
