Run,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,estimated_size,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isol_growth_condt,Isolate,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,num_replicons,Organism,Platform,Ploidy,project_name,propagation,ReleaseDate,Sample Name,Sample_Name,SRA Study,create_date,version
DRR111142,RAD-Seq,280,2218951280,AVA,PRJDB3890,SAMD00099268,MIGS.eu,1060548466,TEMASEK,2007,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,missing,DRX104209,Papua New Guinea,Oceania,Papua New Guinea,NextSeq 500,missing,sample_40,9.42 S 140.93 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099268,sample_40,DRP003286,2017-12-11T14:28:00Z,1
DRR111143,RAD-Seq,280,2307700080,AVA,PRJDB3890,SAMD00099269,MIGS.eu,1106501484,TEMASEK,2007,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,missing,DRX104210,Papua New Guinea,Oceania,Papua New Guinea,NextSeq 500,missing,sample_41,9.42 S 140.93 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099269,sample_41,DRP003286,2017-12-07T21:26:00Z,1
DRR111144,RAD-Seq,280,2277332120,AVA,PRJDB3890,SAMD00099270,MIGS.eu,1096327417,TEMASEK,2007,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,missing,DRX104211,Papua New Guinea,Oceania,Papua New Guinea,NextSeq 500,missing,sample_42,9.42 S 140.93 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099270,sample_42,DRP003286,2017-12-07T21:16:00Z,1
DRR111146,RAD-Seq,280,2513430080,AVA,PRJDB3890,SAMD00099272,MIGS.eu,1199927343,TEMASEK,2007,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,missing,DRX104213,Papua New Guinea,Oceania,Papua New Guinea,NextSeq 500,missing,sample_44,9.42 S 140.93 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099272,sample_44,DRP003286,2017-12-07T21:35:00Z,1
DRR111148,RAD-Seq,280,2000276880,AVA,PRJDB3890,SAMD00099274,MIGS.eu,945233292,TEMASEK,2007,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,missing,DRX104215,Papua New Guinea,Oceania,Papua New Guinea,NextSeq 500,missing,sample_46,9.42 S 140.93 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099274,sample_46,DRP003286,2017-12-07T21:19:00Z,1
DRR111154,RAD-Seq,280,1748453840,AVA,PRJDB3890,SAMD00099280,MIGS.eu,882717638,TEMASEK,2007,public,"sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,missing,DRX104221,Papua New Guinea,Oceania,Papua New Guinea,NextSeq 500,missing,sample_58,9.42 S 140.93 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099280,sample_58,DRP003286,2017-12-07T21:13:00Z,1
DRR111155,RAD-Seq,280,1805113800,AVA,PRJDB3890,SAMD00099281,MIGS.eu,880760822,TEMASEK,2007,public,"sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,missing,DRX104222,Papua New Guinea,Oceania,Papua New Guinea,NextSeq 500,missing,sample_59,9.42 S 140.93 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099281,sample_59,DRP003286,2017-12-07T21:14:00Z,1
DRR111159,RAD-Seq,280,1844712800,AVA,PRJDB3890,SAMD00099285,MIGS.eu,872900362,TEMASEK,2006,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,missing,DRX104226,Australia,Oceania,Australia,NextSeq 500,missing,sample_86,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099285,sample_86,DRP003286,2017-12-07T21:26:00Z,1
DRR111160,RAD-Seq,280,1672961640,AVA,PRJDB3890,SAMD00099286,MIGS.eu,793377284,TEMASEK,2006,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,missing,DRX104227,Australia,Oceania,Australia,NextSeq 500,missing,sample_87,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099286,sample_87,DRP003286,2017-12-07T21:13:00Z,1
DRR111162,RAD-Seq,280,1858303720,AVA,PRJDB3890,SAMD00099288,MIGS.eu,882958940,TEMASEK,2006,public,"run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,missing,DRX104229,Australia,Oceania,Australia,NextSeq 500,missing,sample_89,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099288,sample_89,DRP003286,2017-12-07T21:13:00Z,1
DRR111166,RAD-Seq,280,1445194800,AVA,PRJDB3890,SAMD00099292,MIGS.eu,680228963,TEMASEK,2006,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,missing,DRX104233,Australia,Oceania,Australia,NextSeq 500,missing,sample_165,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099292,sample_165,DRP003286,2017-12-07T21:32:00Z,1
DRR111167,RAD-Seq,280,1233419880,AVA,PRJDB3890,SAMD00099293,MIGS.eu,584157580,TEMASEK,2006,public,"run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,missing,DRX104234,Australia,Oceania,Australia,NextSeq 500,missing,sample_166,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099293,sample_166,DRP003286,2017-12-07T21:21:00Z,1
DRR111171,RAD-Seq,280,1566997600,AVA,PRJDB3890,SAMD00099297,MIGS.eu,737017876,TEMASEK,2006,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,missing,DRX104238,Australia,Oceania,Australia,NextSeq 500,missing,sample_170,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099297,sample_170,DRP003286,2017-12-07T21:13:00Z,1
DRR111176,RAD-Seq,280,1729818160,AVA,PRJDB3890,SAMD00099302,MIGS.eu,821901383,TEMASEK,2006,public,"run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,missing,DRX104243,Australia,Oceania,Australia,NextSeq 500,missing,sample_175,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099302,sample_175,DRP003286,2017-12-07T21:16:00Z,1
DRR111177,RAD-Seq,280,1843866640,AVA,PRJDB3890,SAMD00099303,MIGS.eu,862956959,TEMASEK,2006,public,"run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,missing,DRX104244,Australia,Oceania,Australia,NextSeq 500,missing,sample_176,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099303,sample_176,DRP003286,2017-12-07T21:25:00Z,1
DRR111178,RAD-Seq,280,1568619360,AVA,PRJDB3890,SAMD00099304,MIGS.eu,740846360,TEMASEK,2006,public,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,missing,DRX104245,Australia,Oceania,Australia,NextSeq 500,missing,sample_177,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099304,sample_177,DRP003286,2017-12-07T21:25:00Z,1
DRR111179,RAD-Seq,280,1919194480,AVA,PRJDB3890,SAMD00099305,MIGS.eu,907612196,TEMASEK,2006,public,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,missing,DRX104246,Australia,Oceania,Australia,NextSeq 500,missing,sample_178,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099305,sample_178,DRP003286,2017-12-07T21:15:00Z,1
DRR111182,RAD-Seq,280,1882392120,AVA,PRJDB3890,SAMD00099308,MIGS.eu,898774788,TEMASEK,2006,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,missing,DRX104249,Australia,Oceania,Australia,NextSeq 500,missing,sample_181,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099308,sample_181,DRP003286,2017-12-11T14:28:00Z,1
DRR111183,RAD-Seq,280,2004522800,AVA,PRJDB3890,SAMD00099309,MIGS.eu,947354777,TEMASEK,2006,public,"run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,missing,DRX104250,Australia,Oceania,Australia,NextSeq 500,missing,sample_182,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099309,sample_182,DRP003286,2017-12-07T21:32:00Z,1
DRR111184,RAD-Seq,280,731857560,AVA,PRJDB3890,SAMD00099310,MIGS.eu,343921607,TEMASEK,2006,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,missing,DRX104251,Australia,Oceania,Australia,NextSeq 500,missing,sample_184,13.38 S 127.04 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099310,sample_184,DRP003286,2017-12-07T21:22:00Z,1
DRR111186,RAD-Seq,280,1540881160,AVA,PRJDB3890,SAMD00099312,MIGS.eu,736051989,TEMASEK,2004,public,"run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,missing,DRX104253,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_77,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099312,sample_77,DRP003286,2017-12-07T21:10:00Z,1
DRR111187,RAD-Seq,280,3038196840,AVA,PRJDB3890,SAMD00099313,MIGS.eu,1433629732,TEMASEK,2004,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,missing,DRX104254,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_79,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099313,sample_79,DRP003286,2017-12-11T14:28:00Z,1
DRR111188,RAD-Seq,280,3170379800,AVA,PRJDB3890,SAMD00099314,MIGS.eu,1507914676,TEMASEK,2004,public,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,missing,DRX104255,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_80,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099314,sample_80,DRP003286,2017-12-07T21:33:00Z,1
DRR111190,RAD-Seq,280,3336347560,AVA,PRJDB3890,SAMD00099316,MIGS.eu,1590346799,TEMASEK,2004,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,missing,DRX104257,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_82,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099316,sample_82,DRP003286,2017-12-07T21:21:00Z,1
DRR111191,RAD-Seq,280,2618516320,AVA,PRJDB3890,SAMD00099317,MIGS.eu,1236126829,TEMASEK,2004,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,missing,DRX104258,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_83,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099317,sample_83,DRP003286,2017-12-11T14:28:00Z,1
DRR111193,RAD-Seq,280,1608791240,AVA,PRJDB3890,SAMD00099319,MIGS.eu,788589218,TEMASEK,2004,public,"run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,missing,DRX104260,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_141,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099319,sample_141,DRP003286,2017-12-07T21:16:00Z,1
DRR111195,RAD-Seq,280,1460957680,AVA,PRJDB3890,SAMD00099321,MIGS.eu,688388097,TEMASEK,2004,public,"sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,missing,DRX104262,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_143,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099321,sample_143,DRP003286,2017-12-07T21:15:00Z,1
DRR111198,RAD-Seq,280,1183588840,AVA,PRJDB3890,SAMD00099324,MIGS.eu,563183103,TEMASEK,2004,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,missing,DRX104265,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_146,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099324,sample_146,DRP003286,2017-12-07T21:12:00Z,1
DRR111199,RAD-Seq,280,1401289120,AVA,PRJDB3890,SAMD00099325,MIGS.eu,682676689,TEMASEK,2004,public,"sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,missing,DRX104266,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_147,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099325,sample_147,DRP003286,2017-12-07T21:23:00Z,1
DRR111202,RAD-Seq,280,1632305360,AVA,PRJDB3890,SAMD00099328,MIGS.eu,798726756,TEMASEK,2004,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,missing,DRX104269,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_150,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099328,sample_150,DRP003286,2017-12-11T14:28:00Z,1
DRR111205,RAD-Seq,280,1639868720,AVA,PRJDB3890,SAMD00099331,MIGS.eu,793273857,TEMASEK,2004,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,missing,DRX104272,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_154,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099331,sample_154,DRP003286,2017-12-07T21:23:00Z,1
DRR111206,RAD-Seq,280,1542825200,AVA,PRJDB3890,SAMD00099332,MIGS.eu,743816742,TEMASEK,2004,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,missing,DRX104273,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_155,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099332,sample_155,DRP003286,2017-12-07T21:16:00Z,1
DRR111207,RAD-Seq,280,1539833680,AVA,PRJDB3890,SAMD00099333,MIGS.eu,752760238,TEMASEK,2004,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,missing,DRX104274,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_156,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099333,sample_156,DRP003286,2017-12-07T21:17:00Z,1
DRR111208,RAD-Seq,280,1335398120,AVA,PRJDB3890,SAMD00099334,MIGS.eu,645247561,TEMASEK,2004,public,"run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,missing,DRX104275,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_157,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099334,sample_157,DRP003286,2017-12-07T21:32:00Z,1
DRR111209,RAD-Seq,280,1650943000,AVA,PRJDB3890,SAMD00099335,MIGS.eu,794159240,TEMASEK,2004,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,missing,DRX104276,Indonesia,Asia,Indonesia,NextSeq 500,missing,sample_158,1.66 S 104.87 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099335,sample_158,DRP003286,2017-12-07T21:25:00Z,1
